id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level
ChIJq6X9TABr0xQR1LL6gE-82Og,Ankara Emniyet Müdürlüğü Gölbaşı Polisevi,"Karşıyaka, Küme Evleri Sok., 06830 Gölbaşı/Ankara, Türkiye",39.7521514,32.7782833,"[""restaurant"", ""cafe"", ""hotel"", ""breakfast_restaurant"", ""lodging"", ""food"", ""point_of_interest"", ""establishment""]",4.6,251.0,
ChIJyztXMwBr0xQR9GU5iIPSX6E,Gölbaşı Polis Evi,"Karşıyaka, Gölbaşı Haymana Yolu 7. Km No:427, 06830 Gölbaşı/Ankara, Türkiye",39.7520913,32.7766377,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",4.5,110.0,
ChIJ3xpsm2RB0xQR3EK6nCgJzFc,Club Bizim Çatı Otel & Restaurant | Gölbaşı Düğün Salonu | Gölbaşı Otel | Gölbaşı Kahvaltı,"Karşıyaka Mahallesi Dr.Özcanlı Caddesi, Karşıyaka, Haymana Yolu Blv. 7.km No:281, 06860 Gölbaşı/Ankara, Türkiye",39.757248,32.7829138,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",4.0,568.0,
ChIJcTcgMGdO0xQRMa0tntFnhgw,VE HOTELS GÖLBAŞI,"gaziosman paşa mahallesi 366. sok,no:6, Gaziosmanpaşa, Ankara Konya Yolu 22. Km, 06830 Gölbaşı/Ankara, Türkiye",39.7732421,32.8012194,"[""hotel"", ""guest_house"", ""brunch_restaurant"", ""wedding_venue"", ""event_venue"", ""lodging"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",4.2,2778.0,
ChIJl-8ZcXVO0xQRfBZsUvh75Tw,Kronos Hotel,"Sahil Yolu Cad., Konya Yolu 363 No:2, 06830 Gölbaşı/Ankara, Türkiye",39.7756017,32.8043125,"[""lodging"", ""hotel"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",4.4,2150.0,
ChIJl5aBWL9B0xQRKTsQRTDUbBQ,Patalya Lakeside Resort Hotel,"Karşıyaka, Patalya Yolu, 06830 Gölbaşı/Ankara, Türkiye",39.7786127,32.7814842,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",3.7,753.0,
ChIJ25XILXZB0xQRAGRc-hpUGkU,Akalin Wedding Plaza,"Karşıyaka Haymana Yolu Bulvarı, Karşıyaka, Haymana Yolu Blv. No:1, 06830 Gölbaşı/Ankara, Türkiye",39.7937815,32.7942841,"[""event_venue"", ""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",4.2,817.0,
ChIJn8O4-0pB0xQRX3CkxbXEWck,DoubleTree by Hilton Ankara Incek,"Kızılcaşar Mahallesi 23 Nisan Caddesi, Incek, Kızılcaşar, 2705. Cd. No:20, 06830 Gölbaşı/Ankara, Türkiye",39.8325734,32.7187831,"[""hotel"", ""event_venue"", ""lodging"", ""point_of_interest"", ""establishment""]",4.6,414.0,
ChIJU257M5VA0xQR0BglasC8xuc,Pelops Boutique,"Kızılcaşar, İsmail Gaspıralı Cd No:2, 06830 Gölbaşı/Ankara, Türkiye",39.8275002,32.7406716,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",4.0,754.0,
ChIJS59h6wlF0xQRA8pKVQjg5do,Ankara Atlı Otel,"İlkbahar, 596. Sk. No:79, 06550 Çankaya/Ankara, Türkiye",39.8599,32.8542,"[""hotel"", ""breakfast_restaurant"", ""spa"", ""gym"", ""massage"", ""swimming_pool"", ""health"", ""lodging"", ""restaurant"", ""sports_activity_location"", ""point_of_interest"", ""food"", ""establishment""]",4.5,542.0,
ChIJ4dBVUoA60xQR2FTtxupx-oU,The Corner Hotel,"Ahi Evran, Bahçe Sk. no.40, 6930 Sincan/Ankara, Türkiye",39.9698839,32.5797594,"[""lodging"", ""cafe"", ""hotel"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",4.0,1069.0,
ChIJEwMCuz5xgkAROKs6Uynguoc,Connect Thermal Hotel,"Kayı, Kayıboyu Cd. no:20, 06980 Kahramankazan/Ankara, Türkiye",40.2022487,32.6901423,"[""hotel"", ""resort_hotel"", ""spa"", ""public_bath"", ""swimming_pool"", ""lodging"", ""restaurant"", ""sports_activity_location"", ""point_of_interest"", ""food"", ""establishment""]",4.3,1149.0,
ChIJw0bonppsgkAREdrW7rFlklI,DÜŞ YOLCUSU BUNGALOV OTEL VE AT ÇİFTLİĞİ,"Yilmaz Köy Mahallesi 55, Yılmaz köy mah, Yılmazköy, 06760 Çubuk/Ankara, Türkiye",40.24256210000001,32.8762061,"[""hotel"", ""hiking_area"", ""campground"", ""bed_and_breakfast"", ""childrens_camp"", ""camping_cabin"", ""lodging"", ""sports_activity_location"", ""park"", ""tour_agency"", ""travel_agency"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.1,391.0,
ChIJj5FNvHhP0xQRnL66BnpotAg,Hotel Midi,"40, Aziziye, Andrey Karlov Sok., 06690 Çankaya/Ankara, Türkiye",39.8910234,32.8528218,"[""hotel"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.1,559.0,
ChIJ-0cvRpJP0xQRGFH21fZGQ4s,Grand Nora Hotel,"Büyükesat, Kız Kulesi Sk. No: 36, 06680 Çankaya/Ankara, Türkiye",39.8901507,32.8720775,"[""hotel"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.6,550.0,
ChIJo4wh1kxP0xQR3iKf0g6GcJk,Royal Sweet Hotel,"Nasuh Akar Mahallesi, Balgat, Ziyabey Cd. No:39, 06520 Çankaya/Ankara, Türkiye",39.910111,32.819975,"[""hotel"", ""lodging"", ""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.4,276.0,
ChIJnanRUqRP0xQRXEMUhl-udSE,Latanya Hotel Ankara,"Kavaklıdere, Büklüm Cd No:1, 06660 Çankaya/Ankara, Türkiye",39.9131404,32.8580748,"[""hotel"", ""spa"", ""bar"", ""lodging"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",4.5,2463.0,
ChIJKQB1kVFO0xQRn1KLZ97YSbU,New Park Hotel,"Mh, Ön Cebeci, Ziya Gökalp Cd. No:58, 06600 Çankaya/Ankara, Türkiye",39.9243721,32.8630694,"[""hotel"", ""gym"", ""cafe"", ""sports_club"", ""wedding_venue"", ""event_venue"", ""sports_activity_location"", ""lodging"", ""spa"", ""health"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",4.3,4322.0,
ChIJqbdTF0NO0xQRLzGXn9DLxtM,Etap Altınel Hotel Ankara,"Gazi Mustafa Kemal Bulvarı, Anıttepe, Anadolu Meydanı No:151, 06570 Çankaya/Ankara, Türkiye",39.9341324,32.8385064,"[""hotel"", ""fine_dining_restaurant"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",3.9,2177.0,
