id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level,business_status,primary_photo_name,source_type,suggested_category,already_in_system
ChIJj-qcChlP0xQRoAiNJKguhtM,Anıtkabir,"Mebusevleri, Anıttepe, Anıtkabir, 06570 Çankaya/Ankara, Türkiye",39.924882499999995,32.8370786,"[""monument"", ""tourist_attraction"", ""historical_landmark"", ""historical_place"", ""point_of_interest"", ""establishment""]",4.9,139272,,OPERATIONAL,places/ChIJj-qcChlP0xQRoAiNJKguhtM/photos/AU_ZVEHNcQvJGjYVk_QQu-thXfAKpFbCsDttLDmH1fdjPstKg-TnLnrG7A3fRl3lGmF5Qkdx9saZKmu69eVqMSdDCTC1HgTW73evHqgvadhTmEwBPnf3gymAe4jj_JBrizyVFLRm3_kp3pb5rfNbIfBygNCW6m4YnF4ADFBTvVPYcAWw1eBPMiz1NUtDSupx5x77m1HZRR300Dr_hOa-1qsL49foK1uP6jc-NLekvsAcl9JikEB1S21em7Yrlgn2-LU3W3t4n8u1tQlBWr95YH2qzqOeYQTjXatsai50BuwXSUuZgHSiVAnvlJGbz84iu5R2I_OWDhPdYdY3nwJNj2dOp-samFvx01iw36yxKTid3GuuGMlOoR2HM7AzrAWtP56z1lLr64jKqkMJm7Qtx2gB05Y-_1oFIDnTqGRrbYO_nukyrg,tourist_attraction,landmarks,yes
ChIJjTWQhQBP0xQRej8E-sHEDzU,Güvenpark,"Kızılay Meydanı, 06421 Çankaya/Ankara, Türkiye",39.9201797,32.8534066,"[""park"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.1,41217,,OPERATIONAL,places/ChIJjTWQhQBP0xQRej8E-sHEDzU/photos/AU_ZVEGrPNCD0elRPSZhKciducltDI3P7V560azUXmj8D5-FYUCMngpKMLxcVDzOvmpM9S8g1txVnnHNQxAfEeVBI3hL1fBDW3bLbq2_Zexf7IaDLz5dApQKGqLWXI-mBn6lZIxCY1J0vz8BIuH9gp_UtJ9EnOZ5vsRI0Q7oRa6B9LsT-37yzumq5QHf-nU20i9mlQuEWlyfg0LKm5WgqWYqTkPBNknY9x17UFLT3NFYntq1KxBAuNZ1bujtSwjio_epWjXYSHjHPElzbODEo4ti0hQlrmN06uwX_0FgCFdGDPaeL7rJFNbGLsLu1JI7rahAQsGXztpCxO7NUW1l5yR1qVZ6ObXpHaQv2XPDjFJZyYEgq_G1ncE-BLmvIGQtw4a-1vCM3bNAe4APwouZSgnFr7Qvpfo6rlj-jJQeKP7gB6yll4zY,tourist_attraction,landmarks,yes
ChIJpXsxOGBO0xQRKCQHB0AXJKM,Ataturk Statue,"Hacı Bayram, Anafartalar Cd No:62, 06050 Altındağ/Ankara, Türkiye",39.9417863,32.8548263,"[""sculpture"", ""tourist_attraction"", ""monument"", ""point_of_interest"", ""establishment""]",4.4,27695,,OPERATIONAL,places/ChIJpXsxOGBO0xQRKCQHB0AXJKM/photos/AU_ZVEF4w87TL9kOpv9Wg2sVm0PR8HDeDIZr5T8CT8u3XigMygFxWMV9okcx7sqHwyJR4OTymsWCDZ5xQWdZYqDBy1lxkjYCrO9TlivxMieMlMqq4tlnYEGamjEJxjoSDrg6_mQ2rDlWf_cmxflvCVv_dDBNBKHeRG-W6Es8sTU9TidhRsmFpLdpn8Fpt2TIwiPUaTPsHrfm8aHAgE5EdhxbtXTQ6sEuFdpGlU1Brd-k_hMx4DQovnH1ZO6KAwYMgOsmBvJMaRmrYmsB6x6CQs_GXg3DbgzMNAo5bF0aXcC8QHjNXYB1VA9372jP4z9HRKJU4_X71AiqL94hUHBQSYkZRNM4hG0t7UlCpJXcxNPYXo1stzcfZJVQ7cbH7V8bdsdWuyMdurbnnF085xLUH_qfnaegYO8BffFDJ3viuKxS_kBxE3a2EhDWaCPNYrO2oAvt,tourist_attraction,landmarks,yes
ChIJT7AhDqJP0xQRfUIL_yqAcTM,Kuğulu Park,"Çankaya, Kuğulu Park, 06690 Çankaya/Ankara, Türkiye",39.902000099999995,32.8601762,"[""park"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.5,26154,,OPERATIONAL,places/ChIJT7AhDqJP0xQRfUIL_yqAcTM/photos/AU_ZVEEZJGJ-6COLXbIBaovyPcD7uAk6dxW5j6zbTKcF-8gbviO4qaxT0FjZkJr7quD-N4d6_oXtGMBt72ZTVFE5I4ysLVVJBKUBI_zGkFr8MWaFc8GQ2LYI4H_7ROBjYT30kK3JmXB7MLrEOxT1Ssoi3IRR4xS1BnV62V9KHj__YBsY9XWl3oPtdMdMgUvIINE-8yXcgijR1b5tp90GBipyLMIWJ8qNQ3fQrUwYJWqsGqVVPshJ1wgkzANrL4Imc0IvU8e9UEYZ9MbLqQvXtKjnB3k5B0HKZMzZ1C6dPUoTbz2h3yJLjl-6D_rKbx0CVLX_RzaaR-jp2cV5PKLGh7X4ka6M86MW4hzkT_y7GLYLMccD4ANKLUFLXBSVn5U8DK-5pmACsn9az1bMewr2Z6Ujj-cjV6XVnutnUmNwQOHhn2-kiBPg,tourist_attraction,landmarks,yes
ChIJEcVIjmNO0xQRFl54K-VCnps,Haci Bayram Mosque,"Hacı Bayram, Sarıbağ Sk. No:13, 06050 Altındağ/Ankara, Türkiye",39.944505299999996,32.8580019,"[""mosque"", ""tourist_attraction"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.8,25257,,OPERATIONAL,places/ChIJEcVIjmNO0xQRFl54K-VCnps/photos/AU_ZVEGttgfUmKsRZAgyLemncdmjk37NmBqWc9oumQjAjaoIBacJsj5eWNKb46Jmh8pqu-tOIRaXg7yWDMcc6FqAMAnF9akeMh4ST7ZDIWbjp79oeb-AysRe3LTDY58CI4Z5sk16EL8orEz9X8zY1_FDwo2AudedeiAsnHBX_RwkVIlngrtv4mIUT1AOUOvLfQF5VQZ8OBhEcEjBKYV8Sg_opSpyXjPn6F4lW-QZyCRvEv_CE0nuO8IO6OteFfvnN7al0Ax0rrPBEqMH1930Fe49mvwn1L5-n-MUdNGi7obBydJLbgdK5RD0LtKBa2OL0ohq-zDxb4Xyl4AKWswRFivC4DoyLFpEo4B-8hMPCjMuLnzafZlgIk0tnJbqIDQ0gNVK1WXb2KJ93j5EgpyBE4kdcphyivOEdHoBILYaEag3fwVF2A,tourist_attraction,landmarks,yes
ChIJezGjUW9O0xQRwAGUkwTgFXQ,Ankara Castle,"Kale, 06240 Altındağ/Ankara, Türkiye",39.9390359,32.8654212,"[""castle"", ""tourist_attraction"", ""historical_landmark"", ""historical_place"", ""point_of_interest"", ""establishment""]",4.4,22256,,OPERATIONAL,places/ChIJezGjUW9O0xQRwAGUkwTgFXQ/photos/AU_ZVEESFo6RyzlRGENNoXTtihc4Yf8bLuI_IJp4OiJjSVREmP27E8wfPq9XTXpdADTa56tZStzj-ppDX56svCBslRWlsCccy0RQFJx21LMIZ9yW3rbG6swgy6O9mWTFM8tPFxyb1HZS94xzDUR_5pF5VC1gsSiW-BF5Mj4qB1WpzAdSmUQQyM9U7a68ZwvvRZQp9Cao5yp_yBvJng5xyH9PxeQDlHFuifEhZH7Y3PZnCjx9zaRFcBwBo8C22hCakLlmSiRA7aQCTU0-kkUin8TtR_lYxvFywwPeDUtdaj9ygP0Gwpkpd1lh2VHAF9KsEITuwtCZ_r2OSMI-12aEdO7re1lHADl54n99Iz3d46bUsZvUkmEsKF8FdLONOG0K4DU3-2m7rKN2Dbhfg3sbJrY5OWnur6qo2wdCeX6B07WpcKqp7g,tourist_attraction,landmarks,yes
ChIJF16msWtO0xQRh3CtfHpR5Xw,Ulucanlar Prison Museum,"Hacettepe, Ulucanlar Cd. No:63, 06030 Altındağ/Ankara, Türkiye",39.9376335,32.8732154,"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.7,17848,,OPERATIONAL,places/ChIJF16msWtO0xQRh3CtfHpR5Xw/photos/AU_ZVEEencoAQgrJlhR2cTWzasiVnVl2z7uLE5Hv3uZVXcHaEIO2qbx4gy-tiKCqSeIJYsa0BrXZIxmwhc4YKxOFF-7P_lvMa5DhjIr4KzPNOgKCcgRiy5NyOwiFQsYJH1cJ_mQ7HVsQBqys5U0_l1-tlSVFvz55w2GOr8UZ_VCd4NdH9Tui4X1NubdeXj6SZPncQ_VJEO9uPGFv0KshZRBSDxWWjn65aYIH1liOfd6gGsarS23yYKv7lECpQF-pDm1XD6Su6Yf48xA3WTKHPbr7gyg1VIJlKLfy6Ze5Sa_S8GgQ27WUkDDxruDlniTjOU8db6mGJs5PpVnU0iQcqZvxFTjJId9biBFb9nTGWbPuZXrLPZ2lyI7vMmdjH8yz0_pSapmK26OryIaop_iYvWmYXjUp382dQOWZbq-ok-gML9J8ou55vdaFXV51LfoaWVic,tourist_attraction,landmarks,yes
ChIJ9ws3eGdO0xQRRmf05EeskZs,Museum of Anatolian Civilizations,"Kale, Gözcü Sk. No:2, 06240 Ulus/Altındağ/Ankara, Türkiye",39.9382042,32.8618958,"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]",4.8,16807,,OPERATIONAL,places/ChIJ9ws3eGdO0xQRRmf05EeskZs/photos/AU_ZVEHts1zV223HArIRHCoPHloA-A1GeW6wm0tNZVOlgJ2Mu01zCfgZSTh8Q4QtgYbRmpRnXYgkdDmHRHI733GukQ1c2HtFYyeuJH9dLjJzYKIl2Epa-vmtB_xsJJeAA0EI33z_YOc0dlDrrJ5_PfgkN0scVsRRn6kVbG1Q1xiY_VTzihWmAiuCINbndqGpD-_S-p-3KTWHUdtTJnJqUf6QYoyTeigii2BNdAycfA3dWKwTiJH3JrHU-gkfWZyptpRAl90lKhhyqATxUpRgtHGolYlET3zDm2yFb1PbL6Oyg-t1yCkuMyDWWW8QcZ7yhnaup8C0zc7eY43OJJV75BeTYhD62lC9tknjFE_cs0FD8FDdz05nqim7A8HV7siNpbmemGZMRBYupQX7bOrgFrElFNfPwweVPCYPBpZo1OdePO8H264,tourist_attraction,landmarks,yes
ChIJRSh_PFBO0xQRgcjsVw-QklY,Independence Park,"Fidanlık, Prof. Dr. Nusret Fişek Cd. No:39, 06420 Çankaya/Ankara, Türkiye",39.9274396,32.864004,"[""park"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.4,14826,,OPERATIONAL,places/ChIJRSh_PFBO0xQRgcjsVw-QklY/photos/AU_ZVEGuMWSQkkTRU703ixknXA-iXlTVBqR_cLtccEybSvpPOJd7Ce26bsAy-frNRcqSp1Giy7nPlRTP15B8yDB6VvI-uC-iAKwDMDBLeJ_m-Fr3uH5CgqzxEfSYOE_n8GlLrhDGKqb8WyeiDo0M-JD7U2C-cw108p_YfZNPG29GP_N8ZHddx7Sc9tQVh5ikaDzUgiaRW_K8yWzHMOOkmGMET9ngdIYjbVJkIpaONQlcUwgGRTHDddpUD_fqiSRXr9KNwh5EMEtFvoLb7y8JeCQbf3fDcj8c3iDxXwz6BAGNFdSRREBinSg9uDZys4G89W5ZLSBeEV6w32CKqdN6p58hMSo7IcEAcjZZw6MnFoosVz4wvRN7-lyfqvbVvMlw-i6FFiacEiRUXRJF-ukvznkDFy5GKrjhRD1MNQPcDXgOEaJRLA,tourist_attraction,landmarks,yes
ChIJN26nO5pP0xQRllqZX2CDKaU,Seğmenler Parkı,"Çankaya, 06680 Çankaya/Ankara, Türkiye",39.894834599999996,32.862981999999995,"[""park"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.4,13381,,OPERATIONAL,places/ChIJN26nO5pP0xQRllqZX2CDKaU/photos/AU_ZVEGgil2hSJlIGLnIBuVYXu8Ftz8glAxasGPU5vpwTC5grS5mOGOIcfFc_LmEDmn40FYbqqv8SfOLQmhRZiN64iDKA4uQ5yTutB2Oz0YYlda191Vj4mqGfsCKqTCTCLz-wDdle1yz8w5utruiN8KgRZLsVpHJWEka-9J6X0y-bT1MO32rOopIQiLa66iRnAqtib87bzuFSwiPoGWUqemECfnwc7kSA9fNfWKG3mWvlwNsMrvwPZS9-Qslq9TADNenUzFrTN7VVHnDXnjRwpbFKTC8-MPpy6IncPJs_Giv-mv4YpOg-tCX40SwTNRWXL6njmdLYTiaVYm_ykfy_2WAjwiJde5iDJHpi0EWI3NRkhkg0vC1qnbqAT6a7JVN0RaNeADS4UmBMrPS4qn3l3vXBH5mhhWKAR1EoOi7YkC4rD8,tourist_attraction,landmarks,yes
